2019-04-30 09:19:20.506 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.spring.xnpool.bmpos.tasks.bmpostasks.mapper.ConnTestCase], using SpringBootContextLoader
2019-04-30 09:19:37.356 [main] INFO  c.s.x.bmpos.tasks.bmpostasks.mapper.ConnTestCase - Started ConnTestCase in 15.411 seconds (JVM running for 22.222)
2019-04-30 09:19:37.359 [main] INFO  c.s.x.b.t.b.taskmanage.ScheduledForDynamicCron - 插件Map开始初始化！
2019-04-30 09:19:37.360 [main] INFO  c.s.x.b.t.b.taskmanage.ScheduledForDynamicCron - 插件Map:{1=Plugins(pid=1, category=插件, name=结算, active=1, unit=M, duration=5, start=2019-04-30 09:19:37, coin=ltc, className=pps_payout), 2=Plugins(pid=2, category=插件, name=日结, active=1, unit=M, duration=30, start=null, coin=ltc, className=IDailyService), 3=Plugins(pid=3, category=插件, name=支付, active=1, unit=M, duration=10, start=2019-04-30 09:19:37, coin=ltc, className=IPayOutService), 4=Plugins(pid=4, category=插件, name=数据统计, active=1, unit=M, duration=3, start=2019-04-30 09:19:37, coin=ltc, className=SummarizedData)}
2019-04-30 09:19:37.844 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2019-04-30 09:19:38.106 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2019-04-30 09:19:40.002 [pool-4-thread-1] INFO  c.s.x.b.t.b.taskmanage.ScheduledForDynamicCron -  === 结算插件正在定时 === 
2019-04-30 09:19:40.005 [pool-4-thread-1] INFO  c.s.x.b.t.b.taskmanage.ScheduledForDynamicCron - 定时时间为:5M
2019-04-30 09:19:40.007 [pool-4-thread-1] INFO  c.s.x.b.t.b.taskmanage.ScheduledForDynamicCron -  === 日结插件正在定时 === 
2019-04-30 09:19:40.008 [pool-4-thread-1] INFO  c.s.x.b.t.b.taskmanage.ScheduledForDynamicCron - 定时时间为:30M
2019-04-30 09:19:40.008 [pool-4-thread-1] INFO  c.s.x.b.t.b.taskmanage.ScheduledForDynamicCron -  === 支付插件正在定时 === 
2019-04-30 09:19:40.008 [pool-4-thread-1] INFO  c.s.x.b.t.b.taskmanage.ScheduledForDynamicCron - 定时时间为:10M
