2019-04-29 11:21:44.136 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.spring.xnpool.bmpos.tasks.bmpostasks.mapper.SaleTestCase], using SpringBootContextLoader
2019-04-29 11:21:55.913 [main] INFO  c.s.x.bmpos.tasks.bmpostasks.mapper.SaleTestCase - Started SaleTestCase in 10.584 seconds (JVM running for 16.211)
2019-04-29 11:21:55.917 [main] INFO  c.s.x.b.t.b.taskmanage.ScheduledForDynamicCron - 插件Map开始初始化！
2019-04-29 11:21:55.918 [main] INFO  c.s.x.b.t.b.taskmanage.ScheduledForDynamicCron - 插件Map:{1=Plugins(pid=1, category=插件, name=结算, active=1, unit=M, duration=5, start=2019-04-29 11:21:55, coin=ltc, className=pps_payout), 2=Plugins(pid=2, category=插件, name=日结, active=1, unit=M, duration=30, start=null, coin=ltc, className=IDailyService), 3=Plugins(pid=3, category=插件, name=支付, active=1, unit=M, duration=10, start=2019-04-29 11:21:55, coin=ltc, className=IPayOutService), 4=Plugins(pid=4, category=插件, name=数据统计, active=1, unit=M, duration=3, start=2019-04-29 11:21:55, coin=ltc, className=SummarizedData)}
2019-04-29 11:21:55.950 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static java.lang.String com.spring.xnpool.bmpos.tasks.bmpostasks.mapper.SaleTestCase.wallentIp
2019-04-29 11:21:56.590 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2019-04-29 11:21:57.043 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2019-04-29 11:21:57.123 [main] INFO  c.s.x.b.t.b.service.impl.SummarizedDataServiceImpl - 已结算的开始ID为:2979553
2019-04-29 11:21:57.123 [main] INFO  c.s.x.b.t.b.service.impl.SummarizedDataServiceImpl - 已结算的结束ID为:3150609
2019-04-29 11:21:57.151 [main] INFO  c.s.x.b.t.b.service.impl.SummarizedDataServiceImpl - 零点时间:Mon Apr 29 00:00:00 CST 2019
2019-04-29 11:22:00.003 [pool-4-thread-1] INFO  c.s.x.b.t.b.taskmanage.ScheduledForDynamicCron -  === 结算插件正在定时 === 
2019-04-29 11:22:00.004 [pool-4-thread-1] INFO  c.s.x.b.t.b.taskmanage.ScheduledForDynamicCron - 定时时间为:5M
2019-04-29 11:22:00.007 [pool-4-thread-1] INFO  c.s.x.b.t.b.taskmanage.ScheduledForDynamicCron -  === 日结插件正在定时 === 
2019-04-29 11:22:00.007 [pool-4-thread-1] INFO  c.s.x.b.t.b.taskmanage.ScheduledForDynamicCron - 定时时间为:30M
2019-04-29 11:22:00.007 [pool-4-thread-1] INFO  c.s.x.b.t.b.taskmanage.ScheduledForDynamicCron -  === 支付插件正在定时 === 
2019-04-29 11:22:00.007 [pool-4-thread-1] INFO  c.s.x.b.t.b.taskmanage.ScheduledForDynamicCron - 定时时间为:10M
2019-04-29 11:22:00.008 [pool-4-thread-1] INFO  c.s.x.b.t.b.taskmanage.ScheduledForDynamicCron -  === 数据统计插件正在定时 === 
2019-04-29 11:22:00.008 [pool-4-thread-1] INFO  c.s.x.b.t.b.taskmanage.ScheduledForDynamicCron - 定时时间为:3M
2019-04-29 11:22:06.623 [Thread-19] INFO  o.s.m.simp.broker.SimpleBrokerMessageHandler - Stopping...
2019-04-29 11:22:06.624 [Thread-19] INFO  o.s.m.simp.broker.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=false, SimpleBrokerMessageHandler [DefaultSubscriptionRegistry[cache[0 destination(s)], registry[0 sessions]]]]
2019-04-29 11:22:06.624 [Thread-19] INFO  o.s.m.simp.broker.SimpleBrokerMessageHandler - Stopped.
2019-04-29 11:22:06.627 [Thread-19] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'brokerChannelExecutor'
2019-04-29 11:22:06.628 [Thread-19] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'threadPoolTaskScheduler'
2019-04-29 11:22:06.675 [Thread-19] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'messageBrokerTaskScheduler'
2019-04-29 11:22:06.677 [Thread-19] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2019-04-29 11:22:06.692 [Thread-19] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2019-04-29 11:22:06.693 [Thread-19] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'clientOutboundChannelExecutor'
2019-04-29 11:22:06.693 [Thread-19] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'clientInboundChannelExecutor'
